ID,Продукт,Регион,по,Правообладатель,Новое назавание
19183754,Going Medieval,EU,EU ИГРЫ. Mythwright (Genba),Genba,Going Medieval EU
19183837,Legend Bowl,RUB,ИГРЫ. Top Hat Studios,"Top Hat Studios, Inc.  ",Legend Bowl RUB
19183838,Project Arrhythmia,RUB,ИГРЫ. Top Hat Studios,"Top Hat Studios, Inc.  ",Project Arrhythmia RUB
19183886,Norland,EU,EU ИГРЫ. Hooded Horse (Stock),Hooded Horse,Norland EU
19183889,Norland,EU,EU ИГРЫ. Hooded Horse (Stock),Hooded Horse,Norland EU
19183890,Norland,NOK,NOK GAMES. Hooded Horse,Hooded Horse,Norland NOK
19183905,HITMAN 3 - Seven Deadly Sins Collection,RUB,ИГРЫ. IO Interactive (Genba),Genba,HITMAN 3 - Seven Deadly Sins Collection RUB
19183914,HITMAN 3 - Deluxe Pack,RUB,ИГРЫ. IO Interactive (Genba),Genba,HITMAN 3 - Deluxe Pack RUB
19183937,HITMAN 3 Access Pass: HITMAN 2 Expansion,RUB,ИГРЫ. IO Interactive (Genba),Genba,HITMAN 3 Access Pass: HITMAN 2 Expansion RUB
19183950,Cat Quest III,EU,EU ИГРЫ. Kepler Interactive (Genba),Genba,Cat Quest III EU
19183975,Tank Mechanic Simulator,EU,EU ИГРЫ. DeGenerals SA (Genba),Genba,Tank Mechanic Simulator EU
19183976,FARMING SIMULATOR 25 КЛЮЧ,EU,EU ИГРЫ. GIANTS Software (Genba),Genba,FARMING SIMULATOR 25 КЛЮЧ EU
19183981,FARMING SIMULATOR 25 YEAR 1 BUNDLE,EU,EU ИГРЫ. GIANTS Software (Genba),Genba,FARMING SIMULATOR 25 YEAR 1 BUNDLE EU
19183988,SWORD ART ONLINE Fractured Daydream,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,SWORD ART ONLINE Fractured Daydream EUR
19183989,SWORD ART ONLINE Fractured Daydream,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,SWORD ART ONLINE Fractured Daydream RUB
19183990,Ace Attorney Investigations Collection,EUR,EU ИГРЫ. Capcom (Genba),Genba,Ace Attorney Investigations Collection EUR
19184007,EARTH DEFENSE FORCE 5,EU,EU ИГРЫ. D3PUBLISHER (Genba),Genba,EARTH DEFENSE FORCE 5 EU
19184026,Super Robot Wars 30,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Super Robot Wars 30 EUR
19184027,Super Robot Wars 30 - Ultimate Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Super Robot Wars 30 - Ultimate Edition EUR
19184031,Super Robot Wars 30 - Deluxe Edition,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,Super Robot Wars 30 - Deluxe Edition EUR
19184032,Sid Meier’s Civilization® VI,KRW,KRW GAMES. Aspyr, Aspyr,Sid Meier’s Civilization® VI KRW
19184033,Sid Meier’s Civilization® VI: Rise and Fall,KRW,KRW GAMES. Aspyr,Aspyr,Sid Meier’s Civilization® VI: Rise and Fall KRW
19184034,Sid Meier’s Civilization® VI: Gathering Storm,KRW,KRW GAMES. Aspyr,Aspyr,Sid Meier’s Civilization® VI: Gathering Storm KRW
19184035,Sid Meier’s Civilization® VI: Platinum Edition,KRW,Aspyr,Aspyr,Sid Meier’s Civilization® VI: Platinum Edition KRW
19184036,Sid Meier’s Civilization® VI: Anthology,KRW,KRW GAMES. Aspyr, Aspyr,Sid Meier’s Civilization® VI: Anthology KRW
19184041,Dungeons of Hinterberg,EU,EU ИГРЫ. CURVE GAMES,CURVE GAMES,Dungeons of Hinterberg EU
19184042,Dungeons of Hinterberg,EU,EU ИГРЫ. CURVE GAMES,CURVE GAMES,Dungeons of Hinterberg EU
19184047,Dungeons of Hinterberg,EU,EU ИГРЫ. CURVE GAMES,CURVE GAMES,Dungeons of Hinterberg EU
19184054,Cataclismo,EU,EU ИГРЫ. Hooded Horse,Hooded Horse,Cataclismo EU
19184057,Cataclismo,EU,EU ИГРЫ. Hooded Horse,Hooded Horse,Cataclismo EU
19184059,Cataclismo,NOK,NOK GAMES. Hooded Horse,Hooded Horse,Cataclismo NOK
19184060,Cataclismo,NZD,NZD ИГРЫ. Hooded Horse,Hooded Horse,Cataclismo NZD
19184061,Ace Attorney Anthology,EUR,EU ИГРЫ. Capcom (Genba),Genba,Ace Attorney Anthology EUR
19184065,STAR WARS™: Bounty Hunter™,EU,EU ИГРЫ. Saber Interactive (Aspyr),Aspyr,STAR WARS™: Bounty Hunter™ EU
19184071,Ship Graveyard Simulator 2 - Steel Giants DLC,RUB,RUB GAMES. GAMES INCUBATOR SA (Genba),Genba,Ship Graveyard Simulator 2 - Steel Giants DLC RUB
19184072,Ship Graveyard Simulator 2 - Warships DLC,RUB,RUB GAMES. GAMES INCUBATOR SA (Genba),Genba,Ship Graveyard Simulator 2 - Warships DLC RUB
19184089,Gestalt: Steam & Cinder,RU,ИГРЫ. Fireshine Games (Genba),Genba,Gestalt: Steam & Cinder RU
19184091,Gestalt: Steam & Cinder,EUR,EU ИГРЫ. Fireshine Games (Genba),Genba,Gestalt: Steam & Cinder EUR
19184101,Stray,EU,EU ИГРЫ. Annapurna Games (Genba),Genba,Stray EU
19184103,Ship Graveyard Simulator 2 - Submarines DLC,RUB,RUB GAMES. GAMES INCUBATOR SA (Genba),Genba,Ship Graveyard Simulator 2 - Submarines DLC RUB
19184111,Flintlock: The Siege Of Dawn,RU,ИГРЫ. Kepler Interactive (Genba),Genba,Flintlock: The Siege Of Dawn RU
19184112,Flintlock: The Siege Of Dawn - Deluxe Edition,RU,ИГРЫ. Kepler Interactive (Genba),Genba,Flintlock: The Siege Of Dawn - Deluxe Edition RU
19184118,Magical Delicacy,EUR,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Magical Delicacy EUR
19184216,Ready or Not: Home Invasion,USD,USD (CIS) ИГРЫ. Green Man Gaming 2,Green Man Gaming 2,Ready or Not: Home Invasion USD
19184220,CONSCRIPT,EU,EU ИГРЫ. Team17,Team17,CONSCRIPT EU
19184221,CONSCRIPT - Deluxe Edition,USD,USD (CIS) ИГРЫ. Team17,Team17,CONSCRIPT - Deluxe Edition USD
19184222,CONSCRIPT - Officer Edition,USD,USD (CIS) ИГРЫ. Team17,Team17,CONSCRIPT - Officer Edition USD
19184223,Necrosmith 2,RU,ИГРЫ. ALAWAR,ALAWAR,Necrosmith 2 RU
19184229,Superliminal,EU,EU ИГРЫ. Pillow Castle (Genba),Genba,Superliminal EU
19184231,Superliminal,RUB,RUB GAMES. Pillow Castle (Genba),Genba,Superliminal RUB
19184232,Norland,EU,EU ИГРЫ. Hooded Horse (Stock),Hooded Horse,Norland EU
19184234,Murky Divers,RUB,ИГРЫ. EMBERS SAS (Genba),Genba,Murky Divers RUB
19184267,Gym Manager,RUB,RUB GAMES. PlayWay SA (Genba),Genba,Gym Manager RUB
19184272,Tale of Immortal,USD,USD (CIS) ИГРЫ. Green Man Gaming,Green Man Gaming,Tale of Immortal USD
19184275,Outpost: Infinity Siege,CIS,USD (CIS) GAMES. Green Man Gaming 3,Green Man Gaming 3,Outpost: Infinity Siege CIS
19184276,Outpost: Infinity Siege - Vanguard Edition,USD,USD (CIS) ИГРЫ. Green Man Gaming 3,Green Man Gaming 3,Outpost: Infinity Siege - Vanguard Edition USD
19184292,Dead Rising Deluxe Remaster,USD,USD (CIS) ИГРЫ. Capcom (Genba),Genba,Dead Rising Deluxe Remaster USD
19184293,Dead Rising Deluxe Remaster Digital Deluxe,USD,USD (CIS) ИГРЫ. Capcom (Genba),Genba,Dead Rising Deluxe Remaster Digital Deluxe USD
19184298,Dead Rising Deluxe Remaster Digital Deluxe,EUR,EUR GAMES. Capcom (Genba),Genba,Dead Rising Deluxe Remaster Digital Deluxe EUR
19184328,KitHack Model Club,RU,ИГРЫ. CURVE GAMES,CURVE GAMES,KitHack Model Club RU
19184341,KitHack Model Club,NOK,NOK ИГРЫ. CURVE GAMES,CURVE GAMES,KitHack Model Club NOK
19184343,KitHack Model Club,,USD (TRY) GAMES. CURVE GAMES,CURVE GAMES,KitHack Model Club 
